zone,product,Post-Harvest,Post-Planting,difference_post_harvest_minus_post_planting,ratio_post_harvest_to_post_planting
3. North West,Biscuits,0.002561275742959571,0.002018774670380098,5.425010725794732e-4,1.2687278974415357
3. North West,Bottled water,0.002657346500209787,0.009598131241227856,-0.00694078474101807,0.27686082148943836
3. North West,Bread,0.0967606746308296,0.10467420478210028,-0.007913530151270678,0.9243984688706809
3. North West,Brown beans,0.004903205969303903,0.011945769624932085,-0.007042563655628183,0.4104554267537851
3. North West,Buns/Pofpof/Donuts,3.2212900267997326e-4,0.001010726164834961,-6.885971621549878e-4,0.3187104617328007
3. North West,Butter/Margarine,4.477096118243342e-5,6.0130336353915046e-6,3.875792754704192e-5,7.445652876265412
3. North West,Cake,3.945482532825362e-4,0.0023123529803372625,-0.0019178047270547263,0.17062630862913947
3. North West,Canned fish/seafood,0,0,0,NA
3. North West,Cashew nut,3.195315123085942e-4,0,3.195315123085942e-4,NA
3. North West,Cassava flour,0.02186024082095305,0.01851577267715277,0.0033444681438002805,1.1806280624695253
3. North West,Cassava roots,0.2730716256639777,0.832979863911364,-0.5599082382473863,0.32782500213358673
3. North West,Cheese/wara,0.02865449452851266,0.03737579101054083,-0.00872129648202817,0.7666592131904696
3. North West,Chicken,0.018939637573845813,0.02193001717337554,-0.002990379599529726,0.8636398879267527
3. North West,Chocolate drinks,5.103629046350719e-4,6.422902374645674e-4,-1.3192733282949552e-4,0.7945985706551029
3. North West,Coconut,0,2.506699432376099e-4,-2.506699432376099e-4,0
3. North West,Cocoyam,0.004859010109485645,0.004638132265459504,2.2087784402614104e-4,1.0476221529237175
3. North West,Coffee,4.993220784692528e-6,3.8867753462192126e-5,-3.38745326774996e-5,0.1284669254051328
3. North West,Dry pepper,0.0055956884172935675,0.011617081645267228,-0.006021393227973661,0.48167763541312786
3. North West,Duck,0,0,0,NA
3. North West,Fish - dried,0.0057347031547718315,0.005716027839010395,1.867531576143621e-5,1.00326718418584
3. North West,Fish - fresh,0.03988793613667144,0.051210980877181574,-0.011323044740510137,0.778894203029112
3. North West,Fish - frozen,0.007720822070874227,0.007530442525026608,1.903795458476189e-4,1.0252813224740662
3. North West,Fish - smoked,0.002368715241408708,0.006405597106956515,-0.004036881865547806,0.3697883588145545
3. North West,Fresh milk,0.038025786671851976,0.03997792043458485,-0.0019521337627328716,0.951169702137781
3. North West,Fresh pepper,0.0464910180230524,0.036069809912656695,0.010421208110395708,1.2889177441087363
3. North West,Fruit juice,0,0,0,NA
3. North West,Garden eggs/Eggplant,0.004852807587259062,0.01586178165317701,-0.01100897406591795,0.305943411236346
3. North West,Gari - white,0.0721750883677106,0.09366822024379799,-0.021493131876087396,0.7705397644991497
3. North West,Gari - yellow,0.025961712532182414,0.04013811826614751,-0.014176405733965093,0.6468094084539714
3. North West,Gin,0,0,0,NA
3. North West,Goat,0.004827640530226781,0.027597718106159665,-0.022770077575932884,0.1749289746223358
3. North West,Ground pepper,0.0015601804048479,0.0029151119379605493,-0.0013549315331126493,0.5352042865082645
3. North West,Groundnut oil,0.0524359078202636,0.054831792710400847,-0.0023958848901372495,0.9563048229557013
3. North West,Groundnuts - shelled,0.009479999764799773,0.009682530440037595,-2.0253067523782163e-4,0.9790828775089258
3. North West,Groundnuts - unshelled,0.007029515412279064,0.0079677456508716,-9.382302385925355e-4,0.8822464622110645
3. North West,Guava,5.513920104051117e-4,0.002570592521548735,-0.0020192005111436236,0.21449996675198763
3. North West,Guinea corn / sorghum,0.9000201905490355,0.637562997508978,0.26245719304005743,1.4116568779328533
3. North West,Honey,2.210496312637723e-4,0.0016420401222966552,-0.001420990491032883,0.13461889771280322
3. North West,Kola nut,0.003409138741911578,0.0038398421976044614,-4.3070345569288333e-4,0.8878330323153426
3. North West,Leaves,0.028501242650069692,0.027592003809092755,9.092388409769371e-4,1.032952983308784
3. North West,Local eggs,0.0012971992510242298,0.003114705386829282,-0.001817506135805052,0.4164757464733308
3. North West,Maize - shelled/off cob,0.236372388914714,0.16626563976161174,0.07010674915310225,1.4216550650730955
3. North West,Maize - unshelled/on cob,0.0014574443667055676,0.02914612645044521,-0.027688682083739643,0.0500047362788857
3. North West,Maize flour,0.1762063441245396,0.31125987167247315,-0.13505352754793357,0.5661068456326898
3. North West,Malt drinks,0.0019030500694655604,0.0034510503617149113,-0.001548000292249351,0.5514408281540951
3. North West,Mangoes,0.00626892366365134,8.541481485160718e-4,0.005414775515135268,7.339386820123022
